id,date,time,direction,motorcycle,car,bus,truck
380,2023-09-05,07:15,JalanPenang,100.0,172.0,2.0,0.0
381,2023-09-05,07:30,stadium,65.0,105.0,0.0,1.0
382,2023-09-05,07:30,JalanPerak,88.0,123.0,0.0,2.0
383,2023-09-05,07:30,JalanPRamlee,,,,
384,2023-09-05,07:30,JalanPenang,49.0,116.0,0.0,3.0
385,2023-09-05,07:45,stadium,,,,
386,2023-09-05,07:45,JalanPerak,69.0,142.0,0.0,2.0
387,2023-09-05,07:45,JalanPRamlee,,,,
388,2023-09-05,07:45,JalanPenang,74.0,193.0,1.0,1.0
389,2023-09-05,08:00,stadium,54.0,49.0,20.0,3.0
390,2023-09-05,08:00,JalanPerak,87.0,145.0,0.0,0.0
391,2023-09-05,08:00,JalanPRamlee,,,,
392,2023-09-05,08:00,JalanPenang,58.0,93.0,9.0,3.0
393,2023-09-05,08:15,stadium,45.0,85.0,0.0,0.0
394,2023-09-05,08:15,JalanPerak,68.0,132.0,1.0,2.0
395,2023-09-05,08:15,JalanPRamlee,,,,
396,2023-09-05,08:15,JalanPenang,73.0,142.0,5.0,0.0
397,2023-09-05,08:30,stadium,50.0,72.0,3.0,0.0
398,2023-09-05,08:30,JalanPerak,94.0,149.0,5.0,1.0
399,2023-09-05,08:30,JalanPRamlee,,,,
400,2023-09-05,08:30,JalanPenang,76.0,100.0,5.0,0.0
401,2023-09-05,08:45,stadium,,,,
402,2023-09-05,08:45,JalanPerak,90.0,136.0,2.0,1.0
403,2023-09-05,08:45,JalanPRamlee,,,,
404,2023-09-05,08:45,JalanPenang,75.0,103.0,5.0,1.0
405,2023-09-05,12:00,stadium,76.0,96.0,7.0,1.0
406,2023-09-05,12:00,JalanPerak,72.0,84.0,6.0,1.0
407,2023-09-05,12:00,JalanPRamlee,,,,
408,2023-09-05,12:00,JalanPenang,72.0,96.0,10.0,2.0
409,2023-09-05,12:15,stadium,53.0,119.0,3.0,2.0
410,2023-09-05,12:15,JalanPerak,75.0,81.0,6.0,1.0
411,2023-09-05,12:15,JalanPRamlee,,,,
412,2023-09-05,12:15,JalanPenang,57.0,95.0,8.0,2.0
413,2023-09-05,12:30,stadium,48.0,125.0,8.0,0.0
414,2023-09-05,12:30,JalanPerak,60.0,95.0,3.0,1.0
415,2023-09-05,12:30,JalanPRamlee,,,,
416,2023-09-05,12:30,JalanPenang,92.0,136.0,15.0,1.0
417,2023-09-05,12:45,stadium,,,,
418,2023-09-05,12:45,JalanPerak,,,,
419,2023-09-05,12:45,JalanPRamlee,,,,
420,2023-09-05,12:45,JalanPenang,,,,
421,2023-09-05,13:00,stadium,78.0,67.0,10.0,2.0
422,2023-09-05,13:00,JalanPerak,54.0,35.0,4.0,1.0
423,2023-09-05,13:00,JalanPRamlee,,,,
424,2023-09-05,13:00,JalanPenang,58.0,99.0,6.0,1.0
425,2023-09-05,13:15,stadium,60.0,62.0,17.0,0.0
426,2023-09-05,13:15,JalanPerak,62.0,33.0,2.0,0.0
427,2023-09-05,13:15,JalanPRamlee,,,,
428,2023-09-05,13:15,JalanPenang,68.0,58.0,11.0,3.0
429,2023-09-05,13:30,stadium,56.0,83.0,5.0,0.0
430,2023-09-05,13:30,JalanPerak,51.0,95.0,1.0,2.0
431,2023-09-05,13:30,JalanPRamlee,,,,
432,2023-09-05,13:30,JalanPenang,103.0,71.0,10.0,1.0
433,2023-09-05,13:45,stadium,80.0,94.0,4.0,0.0
434,2023-09-05,13:45,JalanPerak,49.0,71.0,2.0,3.0
435,2023-09-05,13:45,JalanPRamlee,,,,
436,2023-09-05,13:45,JalanPenang,,,,
437,2023-09-05,17:00,stadium,53.0,101.0,0.0,0.0
438,2023-09-05,17:00,JalanPerak,29.0,56.0,0.0,0.0
439,2023-09-05,17:00,JalanPRamlee,,,,
440,2023-09-05,17:00,JalanPenang,67.0,50.0,4.0,1.0
441,2023-09-05,17:15,stadium,71.0,92.0,4.0,2.0
442,2023-09-05,17:15,JalanPerak,36.0,45.0,0.0,0.0
443,2023-09-05,17:15,JalanPRamlee,,,,
444,2023-09-05,17:15,JalanPenang,53.0,51.0,4.0,0.0
445,2023-09-05,17:30,stadium,77.0,74.0,4.0,1.0
446,2023-09-05,17:30,JalanPerak,32.0,60.0,2.0,0.0
447,2023-09-05,17:30,JalanPRamlee,,,,
448,2023-09-05,17:30,JalanPenang,46.0,53.0,5.0,1.0
449,2023-09-05,17:45,stadium,61.0,79.0,1.0,1.0
450,2023-09-05,17:45,JalanPerak,22.0,46.0,0.0,0.0
451,2023-09-05,17:45,JalanPRamlee,,,,
452,2023-09-05,17:45,JalanPenang,52.0,68.0,3.0,0.0
453,2023-09-05,18:00,stadium,70.0,124.0,0.0,0.0
454,2023-09-05,18:00,JalanPerak,27.0,77.0,0.0,0.0
455,2023-09-05,18:00,JalanPRamlee,,,,
456,2023-09-05,18:00,JalanPenang,74.0,80.0,3.0,0.0
457,2023-09-05,18:15,stadium,65.0,72.0,2.0,0.0
458,2023-09-05,18:15,JalanPerak,25.0,66.0,0.0,1.0
459,2023-09-05,18:15,JalanPRamlee,,,,
460,2023-09-05,18:15,JalanPenang,64.0,67.0,2.0,0.0
461,2023-09-05,18:30,stadium,63.0,56.0,1.0,1.0
462,2023-09-05,18:30,JalanPerak,46.0,65.0,3.0,1.0
463,2023-09-05,18:30,JalanPRamlee,,,,
464,2023-09-05,18:30,JalanPenang,54.0,57.0,2.0,1.0
465,2023-09-05,18:45,stadium,51.0,79.0,1.0,0.0
466,2023-09-05,18:45,JalanPerak,39.0,60.0,0.0,0.0
467,2023-09-05,18:45,JalanPRamlee,,,,
468,2023-09-05,18:45,JalanPenang,58.0,43.0,3.0,1.0
469,2023-09-06,07:00,stadium,37.0,69.0,0.0,1.0
470,2023-09-06,07:00,JalanPerak,46.0,77.0,0.0,1.0
471,2023-09-06,07:00,JalanPRamlee,,,,
472,2023-09-06,07:00,JalanPenang,82.0,90.0,2.0,0.0
473,2023-09-06,07:15,stadium,38.0,80.0,2.0,0.0
474,2023-09-06,07:15,JalanPerak,50.0,87.0,1.0,0.0
475,2023-09-06,07:15,JalanPRamlee,,,,
476,2023-09-06,07:15,JalanPenang,63.0,89.0,1.0,0.0
477,2023-09-06,07:30,stadium,67.0,54.0,0.0,0.0
478,2023-09-06,07:30,JalanPerak,74.0,116.0,2.0,0.0
479,2023-09-06,07:30,JalanPRamlee,,,,
480,2023-09-06,07:30,JalanPenang,22.0,97.0,0.0,1.0
481,2023-09-06,07:45,stadium,,,,
482,2023-09-06,07:45,JalanPerak,42.0,99.0,0.0,1.0
483,2023-09-06,07:45,JalanPRamlee,,,,
484,2023-09-06,07:45,JalanPenang,,,,
485,2023-09-06,08:00,stadium,36.0,54.0,3.0,1.0
486,2023-09-06,08:00,JalanPerak,58.0,56.0,1.0,0.0
487,2023-09-06,08:00,JalanPRamlee,,,,
488,2023-09-06,08:00,JalanPenang,37.0,118.0,11.0,0.0
489,2023-09-06,08:15,stadium,40.0,51.0,0.0,1.0
490,2023-09-06,08:15,JalanPerak,59.0,144.0,2.0,0.0
491,2023-09-06,08:15,JalanPRamlee,,,,
492,2023-09-06,08:15,JalanPenang,38.0,93.0,1.0,0.0
493,2023-09-06,08:30,stadium,27.0,45.0,0.0,0.0
494,2023-09-06,08:30,JalanPerak,53.0,98.0,2.0,0.0
495,2023-09-06,08:30,JalanPRamlee,,,,
496,2023-09-06,08:30,JalanPenang,53.0,89.0,1.0,0.0
497,2023-09-06,08:45,stadium,,,,
498,2023-09-06,08:45,JalanPerak,39.0,57.0,2.0,0.0
499,2023-09-06,08:45,JalanPRamlee,,,,
500,2023-09-06,08:45,JalanPenang,,,,
501,2023-09-06,12:00,stadium,41.0,72.0,6.0,1.0
502,2023-09-06,12:00,JalanPerak,40.0,67.0,1.0,0.0
503,2023-09-06,12:00,JalanPRamlee,,,,
